prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.11793899536132812,0.9952874183654785,6003,1,1746599557.5460358,1746599558.6592627
76.0,20.0,0.08104109764099121,0.9746448993682861,6004,1,1746599559.865941,1746599560.9216278
76.0,20.0,0.09330868721008301,0.9972062110900879,6005,1,1746599562.2887614,1746599563.3792768
76.0,20.0,0.0821235179901123,0.9958274364471436,6006,1,1746599564.7110672,1746599565.7890189
76.0,20.0,0.10406923294067383,0.9740333557128906,6007,1,1746599567.0332882,1746599568.1113915
76.0,20.0,0.1266777515411377,1.0116722583770752,6008,1,1746599569.448857,1746599570.5872078
76.0,20.0,0.0982975959777832,0.9735007286071777,6009,1,1746599571.7632053,1746599572.8350043
76.0,20.0,0.13556718826293945,0.9769494533538818,6010,1,1746599574.188128,1746599575.3006454
76.0,20.0,0.07835698127746582,0.9706454277038574,6011,1,1746599576.5070884,1746599577.5560913
76.0,20.0,0.09928607940673828,0.994758129119873,6012,1,1746599578.9233203,1746599580.017365
76.0,20.0,0.11760210990905762,0.9851851463317871,6013,1,1746599581.2380002,1746599582.340788
76.0,20.0,0.09771466255187988,0.9976623058319092,6014,1,1746599583.6537669,1746599584.749144
76.0,20.0,0.09348630905151367,0.9535682201385498,6015,1,1746599586.0629005,1746599587.1099558
76.0,20.0,0.08897566795349121,0.9747791290283203,6016,1,1746599588.379314,1746599589.4430695
76.0,20.0,0.11707639694213867,0.9948117733001709,6017,1,1746599590.796288,1746599591.9081767
76.0,20.0,0.10744357109069824,0.9842102527618408,6018,1,1746599593.1131794,1746599594.204834
76.0,20.0,0.10360503196716309,0.9667141437530518,6019,1,1746599555.531377,1746599556.6016967
125.0,20.0,0.11354255676269531,0.9894924163818359,6019,2,1746599595.5366144,1746599596.6396499
76.0,20.0,0.09221506118774414,0.9593520164489746,6020,1,1746599557.9481883,1746599558.9997559
125.0,20.0,0.11358976364135742,1.0197556018829346,6020,2,1746599597.950306,1746599599.083652
76.0,20.0,0.11690187454223633,0.9860081672668457,6021,1,1746599560.2712135,1746599561.3741243
125.0,20.0,0.08799314498901367,1.0236015319824219,6021,2,1746599600.3657959,1746599601.477391
76.0,20.0,0.12462711334228516,0.9840545654296875,6022,1,1746599562.6916304,1746599563.8003128
125.0,20.0,0.09222698211669922,1.033127784729004,6022,2,1746599602.78783,1746599603.9131854
76.0,20.0,0.10318684577941895,0.9587774276733398,6023,1,1746599565.0152388,1746599566.0772035
125.0,20.0,0.09483051300048828,1.0290021896362305,6023,2,1746599605.1039705,1746599606.2278037
76.0,20.0,0.11499619483947754,1.0047612190246582,6024,1,1746599567.4361448,1746599568.5559025
125.0,20.0,0.10561227798461914,0.998915433883667,6024,2,1746599607.5173354,1746599608.6218636
76.0,20.0,0.12208914756774902,0.9774386882781982,6025,1,1746599569.7507992,1746599570.8503275
125.0,20.0,0.11602997779846191,0.998694896697998,6025,2,1746599609.8354263,1746599610.9501517
76.0,20.0,0.09386873245239258,0.9844479560852051,6026,1,1746599572.1657767,1746599573.244094
125.0,20.0,0.0849456787109375,0.9830431938171387,6026,2,1746599612.2499588,1746599613.3179483
76.0,20.0,0.10632896423339844,0.9635672569274902,6027,1,1746599574.4903054,1746599575.560202
125.0,20.0,0.10408568382263184,1.014005184173584,6027,2,1746599614.568811,1746599615.686902
76.0,20.0,0.12244963645935059,0.973334789276123,6028,1,1746599576.9089847,1746599578.0047693
125.0,20.0,0.0874629020690918,1.1288621425628662,6028,2,1746599616.9726264,1746599618.1889517
76.0,20.0,0.12991929054260254,0.9766538143157959,6029,1,1746599579.3252423,1746599580.4318156
125.0,20.0,0.10660099983215332,1.0277254581451416,6029,2,1746599619.3876128,1746599620.52194
76.0,20.0,0.0975804328918457,1.000107765197754,6030,1,1746599581.6399226,1746599582.7376113
125.0,20.0,0.10810136795043945,1.0253543853759766,6030,2,1746599621.7054853,1746599622.8389418
76.0,20.0,0.07762384414672852,0.9853174686431885,6031,1,1746599584.0554829,1746599585.1184247
125.0,20.0,0.09658432006835938,1.0155973434448242,6031,2,1746599624.1200228,1746599625.2322052
76.0,20.0,0.09290766716003418,1.0032548904418945,6032,1,1746599586.3645644,1746599587.4607277
125.0,20.0,0.1361689567565918,1.0864393711090088,6032,2,1746599626.4429336,1746599627.6655424
76.0,20.0,0.11804819107055664,0.9759790897369385,6033,1,1746599588.7811372,1746599589.8751647
125.0,20.0,0.12198424339294434,1.0139689445495605,6033,2,1746599628.857133,1746599629.9930868
76.0,20.0,0.08760452270507812,0.9872856140136719,6034,1,1746599591.1986167,1746599592.2735076
125.0,20.0,0.10879683494567871,1.0325031280517578,6034,2,1746599631.2778568,1746599632.4191573
