prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.12215685844421387,0.937680721282959,1203,1,1746595718.0061457,1746595719.065984
76.0,20.0,0.07877373695373535,0.9396376609802246,1204,1,1746595727.4532495,1746595728.4716613
76.0,20.0,0.09935760498046875,0.9431602954864502,1205,1,1746595736.9931028,1746595738.0356214
76.0,20.0,0.07938194274902344,0.9378049373626709,1206,1,1746595746.532466,1746595747.5496535
76.0,20.0,0.11991119384765625,0.9205875396728516,1207,1,1746595755.9758863,1746595757.0163856
76.0,20.0,0.07597041130065918,0.9449536800384521,1208,1,1746595765.5168886,1746595766.5378132
76.0,20.0,0.0758509635925293,0.9355149269104004,1209,1,1746595774.999832,1746595776.0111985
76.0,20.0,0.07965850830078125,0.9416501522064209,1210,1,1746595784.5408225,1746595785.5621316
76.0,20.0,0.07745218276977539,0.9494867324829102,1211,1,1746595793.9797397,1746595795.0066793
76.0,20.0,0.08487224578857422,0.9324538707733154,1212,1,1746595803.5264606,1746595804.543787
76.0,20.0,0.07889294624328613,0.9168453216552734,1219,1,1746595709.974716,1746595710.9704547
76.0,20.0,0.07698798179626465,0.9418270587921143,1220,1,1746595719.5184894,1746595720.537305
76.0,20.0,0.07446408271789551,0.9179656505584717,1221,1,1746595728.9626966,1746595729.9551268
76.0,20.0,0.08773636817932129,0.9456493854522705,1222,1,1746595739.0005167,1746595740.0339031
76.0,20.0,0.07838320732116699,0.9379234313964844,1223,1,1746595748.0417166,1746595749.0580237
76.0,20.0,0.08747029304504395,0.9246976375579834,1224,1,1746595757.486002,1746595758.4981704
76.0,20.0,0.07581973075866699,0.938441276550293,1225,1,1746595767.025224,1746595768.0394855
76.0,20.0,0.07876849174499512,0.9170019626617432,1226,1,1746595776.509385,1746595777.505156
76.0,20.0,0.07500052452087402,0.9400396347045898,1227,1,1746595786.0496957,1746595787.0647368
76.0,20.0,0.11748409271240234,0.9241998195648193,1228,1,1746595795.489217,1746595796.5309017
76.0,20.0,0.08353829383850098,0.9377319812774658,1229,1,1746595805.035011,1746595806.0562818
76.0,20.0,0.0742640495300293,0.9382891654968262,1236,1,1746595711.480177,1746595712.4927309
76.0,20.0,0.1018209457397461,0.9379816055297852,1237,1,1746595721.0251784,1746595722.0649817
76.0,20.0,0.1189267635345459,0.9232020378112793,1238,1,1746595730.468162,1746595731.5102918
76.0,20.0,0.12245607376098633,0.9227540493011475,1239,1,1746595740.0044796,1746595741.0496907
76.0,20.0,0.1222834587097168,0.9227385520935059,1240,1,1746595749.5477135,1746595750.592736
76.0,20.0,0.07532501220703125,0.913973331451416,1241,1,1746595758.9911475,1746595759.9804466
76.0,20.0,0.11820864677429199,0.9243929386138916,1242,1,1746595768.5308003,1746595769.5734024
76.0,20.0,0.11754202842712402,0.9240527153015137,1243,1,1746595778.0151386,1746595779.0567338
76.0,20.0,0.1168985366821289,0.924252986907959,1244,1,1746595787.4553382,1746595788.4964905
76.0,20.0,0.07295656204223633,0.9159727096557617,1245,1,1746595796.9947731,1746595797.9837034
76.0,20.0,0.10709762573242188,0.9171085357666016,1246,1,1746595806.5406964,1746595807.5649035
76.0,20.0,0.09717130661010742,0.9389605522155762,1253,1,1746595712.986787,1746595714.0229194
76.0,20.0,0.07743668556213379,0.9171855449676514,1254,1,1746595722.5315769,1746595723.5261998
76.0,20.0,0.07879924774169922,0.9414246082305908,1255,1,1746595731.9744027,1746595732.994627
76.0,20.0,0.09897136688232422,0.9268035888671875,1256,1,1746595741.5106947,1746595742.5364711
76.0,20.0,0.078125,0.9389712810516357,1257,1,1746595750.9528587,1746595751.9699557
76.0,20.0,0.08030390739440918,0.9155161380767822,1258,1,1746595760.4969628,1746595761.4927838
76.0,20.0,0.07784795761108398,0.9397830963134766,1259,1,1746595769.979262,1746595770.9968936
76.0,20.0,0.07351231575012207,0.916189432144165,1260,1,1746595779.5205588,1746595780.510261
76.0,20.0,0.07482576370239258,0.9389913082122803,1261,1,1746595788.9613035,1746595789.9751208
76.0,20.0,0.11775469779968262,0.9235680103302002,1262,1,1746595798.5002139,1746595799.541537
76.0,20.0,0.07668519020080566,0.9150948524475098,1263,1,1746595808.0479455,1746595809.0397263
76.0,20.0,0.07420635223388672,0.9148707389831543,1270,1,1746595714.4924254,1746595715.4815032
76.0,20.0,0.07812786102294922,0.914959192276001,1271,1,1746595724.037995,1746595725.031083
76.0,20.0,0.10884618759155273,0.9167206287384033,1272,1,1746595733.479933,1746595734.5055003
76.0,20.0,0.12168169021606445,0.9229497909545898,1273,1,1746595743.0167656,1746595744.061398
76.0,20.0,0.11762166023254395,0.9239788055419922,1274,1,1746595752.4584355,1746595753.5000372
76.0,20.0,0.07699918746948242,0.9169869422912598,1275,1,1746595762.0032709,1746595762.997258
76.0,20.0,0.12204623222351074,0.9253666400909424,1276,1,1746595771.485466,1746595772.5328794
76.0,20.0,0.08397102355957031,0.9378116130828857,1277,1,1746595781.026703,1746595782.0484862
76.0,20.0,0.12257933616638184,0.9225566387176514,1278,1,1746595790.4667118,1746595791.5118482
76.0,20.0,0.08014702796936035,0.941429853439331,1279,1,1746595800.211435,1746595801.2330127
76.0,20.0,0.12001967430114746,0.9240059852600098,1287,1,1746595715.9978812,1746595717.0419078
76.0,20.0,0.08066368103027344,0.9151833057403564,1288,1,1746595725.5458915,1746595726.541739
76.0,20.0,0.07848477363586426,0.9162523746490479,1289,1,1746595734.9854891,1746595735.9802268
76.0,20.0,0.10001921653747559,0.9234058856964111,1290,1,1746595744.523765,1746595745.5471911
