prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.14161062240600586,0.9692997932434082,4003,1,1746597955.3896315,1746597956.5005422
76.0,20.0,0.11417388916015625,0.9629929065704346,4004,1,1746597958.8149657,1746597959.8921337
76.0,20.0,0.12196159362792969,0.9650700092315674,4005,1,1746597962.2381332,1746597963.3251657
76.0,20.0,0.11424446105957031,0.9827139377593994,4006,1,1746597965.7674792,1746597966.8644383
76.0,20.0,0.114776611328125,0.9647233486175537,4007,1,1746597969.1917207,1746597970.2712214
76.0,20.0,0.11600637435913086,0.9672245979309082,4008,1,1746597972.6191208,1746597973.7023525
76.0,20.0,0.07825517654418945,1.0210902690887451,4009,1,1746597976.0438583,1746597977.1432045
76.0,20.0,0.0787656307220459,0.9640543460845947,4010,1,1746597979.5557172,1746597980.598538
76.0,20.0,0.07845067977905273,0.9692647457122803,4011,1,1746597982.9677043,1746597984.0154204
76.0,20.0,0.08468937873840332,0.9684858322143555,4012,1,1746597986.491416,1746597987.5445921
76.0,20.0,0.09069252014160156,0.9623942375183105,4013,1,1746597989.915877,1746597990.9689646
76.0,20.0,0.08579826354980469,0.9606950283050537,4014,1,1746597993.3406816,1746597994.387176
76.0,20.0,0.0920419692993164,0.9528834819793701,4015,1,1746597996.7655451,1746597997.8104715
76.0,20.0,0.08462858200073242,0.980414628982544,4016,1,1746598000.2896652,1746598001.3547091
76.0,20.0,0.08023428916931152,0.9649097919464111,4017,1,1746598003.712405,1746598004.7575498
76.0,20.0,0.12209820747375488,0.9617695808410645,4018,1,1746598007.143825,1746598008.2276936
76.0,20.0,0.0990610122680664,0.9637448787689209,4019,1,1746597952.4732895,1746597953.5360966
125.0,20.0,0.11149978637695312,0.9755730628967285,4019,2,1746598010.6677904,1746598011.7548642
76.0,20.0,0.09111261367797852,1.2020506858825684,4020,1,1746597955.8935177,1746597957.1866817
125.0,20.0,0.08111834526062012,0.9761722087860107,4020,2,1746598014.130586,1746598015.1878772
76.0,20.0,0.11639761924743652,0.9670009613037109,4021,1,1746597959.318211,1746597960.4016106
125.0,20.0,0.0978093147277832,0.9828696250915527,4021,2,1746598017.5559452,1746598018.6366246
76.0,20.0,0.12104678153991699,0.962932825088501,4022,1,1746597962.8422308,1746597963.926211
125.0,20.0,0.12447595596313477,1.204448938369751,4022,2,1746598021.0796094,1746598022.4085348
76.0,20.0,0.08354568481445312,0.9659590721130371,4023,1,1746597966.2710755,1746597967.3205812
125.0,20.0,0.10621905326843262,0.9858636856079102,4023,2,1746598024.505799,1746598025.5978825
76.0,20.0,0.09644770622253418,0.9707868099212646,4024,1,1746597969.6980298,1746597970.7652652
125.0,20.0,0.09505653381347656,0.9665365219116211,4024,2,1746598027.9305534,1746598028.9921472
76.0,20.0,0.1142425537109375,0.9515249729156494,4025,1,1746597973.2225478,1746597974.288316
125.0,20.0,0.11327743530273438,0.9959251880645752,4025,2,1746598031.4589057,1746598032.568109
76.0,20.0,0.10947299003601074,0.9734535217285156,4026,1,1746597976.6496212,1746597977.732549
125.0,20.0,0.09759974479675293,0.9980547428131104,4026,2,1746598034.9026814,1746598035.9983366
76.0,20.0,0.13401150703430176,0.9625091552734375,4027,1,1746597980.058888,1746597981.1554089
125.0,20.0,0.1560823917388916,1.000457763671875,4027,2,1746598038.326771,1746598039.4833114
