prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.11129188537597656,0.9614849090576172,7203,1,1746600519.1858096,1746600520.2585871
76.0,20.0,0.11968016624450684,0.9753274917602539,7204,1,1746600521.2044775,1746600522.2994854
76.0,20.0,0.128648042678833,0.9879248142242432,7205,1,1746600523.2182581,1746600524.334831
76.0,20.0,0.1307520866394043,0.9888718128204346,7206,1,1746600525.244007,1746600526.363632
76.0,20.0,0.12121224403381348,0.9852890968322754,7207,1,1746600527.1647503,1746600528.2712526
76.0,20.0,0.09084868431091309,1.0216681957244873,7208,1,1746600529.1842232,1746600530.296741
76.0,20.0,0.08440232276916504,1.0104081630706787,7209,1,1746600531.2071545,1746600532.3019655
76.0,20.0,0.0776209831237793,0.9885847568511963,7210,1,1746600533.2233727,1746600534.2895796
76.0,20.0,0.12342643737792969,0.9885513782501221,7211,1,1746600535.2418163,1746600536.3537946
76.0,20.0,0.10614299774169922,0.9856953620910645,7212,1,1746600537.2568872,1746600538.3487265
76.0,20.0,0.0895242691040039,0.9878571033477783,7213,1,1746600539.1736062,1746600540.2509897
76.0,20.0,0.08218264579772949,0.9925167560577393,7214,1,1746600541.1904418,1746600542.265142
76.0,20.0,0.11192035675048828,0.9996986389160156,7215,1,1746600543.2065685,1746600544.3181882
76.0,20.0,0.12413978576660156,1.0079259872436523,7216,1,1746600545.2221677,1746600546.3542342
76.0,20.0,0.2634110450744629,0.9906899929046631,7217,1,1746600547.886393,1746600549.1404943
76.0,20.0,0.07637953758239746,1.0034894943237305,7218,1,1746600549.2038343,1746600550.2837038
76.0,20.0,0.1137244701385498,1.001579761505127,7219,1,1746600517.474725,1746600518.5900304
125.0,20.0,0.12813472747802734,1.0124075412750244,7219,2,1746600551.216974,1746600552.3575172
76.0,20.0,0.12148928642272949,1.0080864429473877,7220,1,1746600519.488592,1746600520.618168
125.0,20.0,0.09579086303710938,1.0347201824188232,7220,2,1746600553.2326565,1746600554.3631685
76.0,20.0,0.0832827091217041,1.0042738914489746,7221,1,1746600521.5062306,1746600522.593788
125.0,20.0,0.2533905506134033,0.9787139892578125,7221,2,1746600555.2464843,1746600556.4785898
76.0,20.0,0.08968210220336914,1.0344715118408203,7222,1,1746600523.5228121,1746600524.6469667
125.0,20.0,0.130126953125,1.1108787059783936,7222,2,1746600557.217568,1746600558.458574
76.0,20.0,0.0970144271850586,1.0159227848052979,7223,1,1746600525.545628,1746600526.6585667
125.0,20.0,0.08305954933166504,1.0607082843780518,7223,2,1746600559.2386754,1746600560.3824444
76.0,20.0,0.09950017929077148,0.9723410606384277,7224,1,1746600527.5699046,1746600528.6417468
125.0,20.0,0.12167882919311523,1.0294442176818848,7224,2,1746600561.2550147,1746600562.4061387
76.0,20.0,0.08849906921386719,0.9662060737609863,7225,1,1746600529.486403,1746600530.5411093
