prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
75.0,20.0,0.08663678169250488,0.9478981494903564,3,1,1746594787.2035563,1746594788.2380917
75.0,20.0,0.09355854988098145,0.9443094730377197,4,1,1746594825.2310426,1746594826.2689111
75.0,20.0,0.07892298698425293,0.9160356521606445,19,1,1746594755.21295,1746594756.2079093
75.0,20.0,0.07925581932067871,0.9143993854522705,20,1,1746594793.2248447,1746594794.2185006
75.0,20.0,0.08501791954040527,0.9200756549835205,21,1,1746594831.2576547,1746594832.2627487
75.0,20.0,0.07891011238098145,0.9180128574371338,36,1,1746594761.2309928,1746594762.2279162
75.0,20.0,0.08043122291564941,0.9146592617034912,37,1,1746594799.2445207,1746594800.2396119
75.0,20.0,0.08185577392578125,0.9161863327026367,38,1,1746594837.2767084,1746594838.274751
75.0,20.0,0.07857632637023926,0.9162309169769287,53,1,1746594767.248929,1746594768.2437367
75.0,20.0,0.08103346824645996,0.9169011116027832,54,1,1746594805.2624946,1746594806.2604296
75.0,20.0,0.08061742782592773,0.9149014949798584,55,1,1746594843.2490396,1746594844.2445593
75.0,20.0,0.08494949340820312,0.9162919521331787,70,1,1746594773.2685966,1746594774.2698386
75.0,20.0,0.08127355575561523,0.9156932830810547,71,1,1746594811.1849573,1746594812.1819246
75.0,20.0,0.08604836463928223,0.9221513271331787,87,1,1746594779.6789615,1746594780.6871617
75.0,20.0,0.07947301864624023,0.9155373573303223,88,1,1746594817.2044466,1746594818.199458
75.0,20.0,0.07935237884521484,0.9164881706237793,104,1,1746594785.1974142,1746594786.1932552
75.0,20.0,0.07639384269714355,0.917607307434082,105,1,1746594823.222693,1746594824.216695
75.0,20.0,0.08449673652648926,0.919243335723877,120,1,1746594753.2065647,1746594754.2103052
75.0,20.0,0.08558130264282227,0.919440746307373,121,1,1746594791.2185426,1746594792.223565
75.0,20.0,0.08564138412475586,0.9195854663848877,122,1,1746594829.2507668,1746594830.255994
75.0,20.0,0.07911229133605957,0.9171769618988037,137,1,1746594759.225215,1746594760.2215047
75.0,20.0,0.08537745475769043,0.9200015068054199,138,1,1746594797.2384403,1746594798.24382
75.0,20.0,0.08452892303466797,0.9204561710357666,139,1,1746594835.2701607,1746594836.275146
75.0,20.0,0.08459711074829102,0.9192955493927002,154,1,1746594765.2429824,1746594766.246876
75.0,20.0,0.08516860008239746,0.919130802154541,155,1,1746594803.2565622,1746594804.2608619
75.0,20.0,0.07952761650085449,0.9181265830993652,156,1,1746594841.24301,1746594842.2406652
75.0,20.0,0.08377695083618164,0.9209222793579102,171,1,1746594771.2620952,1746594772.2667952
75.0,20.0,0.08395195007324219,0.9221968650817871,172,1,1746594809.2749202,1746594810.2810698
75.0,20.0,0.0877692699432373,0.921727180480957,173,1,1746594847.2615855,1746594848.2710824
75.0,20.0,0.07950425148010254,0.914299726486206,188,1,1746594777.1806498,1746594778.174454
75.0,20.0,0.08510828018188477,0.9204871654510498,189,1,1746594815.1986156,1746594816.2042115
75.0,20.0,0.0831763744354248,0.916515588760376,205,1,1746594783.1908371,1746594784.1905296
75.0,20.0,0.07815670967102051,0.9164643287658691,206,1,1746594821.2169287,1746594822.2115502
75.0,20.0,0.08530306816101074,0.9212565422058105,221,1,1746594751.2008054,1746594752.2073655
75.0,20.0,0.07820391654968262,0.9174108505249023,222,1,1746594789.212416,1746594790.2080312
75.0,20.0,0.08001327514648438,0.9162113666534424,223,1,1746594827.2441375,1746594828.2403626
75.0,20.0,0.08565282821655273,0.919865608215332,238,1,1746594757.2191415,1746594758.2246602
75.0,20.0,0.08607292175292969,0.9188334941864014,239,1,1746594795.2315733,1746594796.2364805
75.0,20.0,0.08040404319763184,0.9169106483459473,240,1,1746594833.2641382,1746594834.2614536
75.0,20.0,0.0799551010131836,0.9163351058959961,255,1,1746594763.2369998,1746594764.2332904
75.0,20.0,0.0803983211517334,0.9165570735931396,256,1,1746594801.2506166,1746594802.2475724
75.0,20.0,0.08500432968139648,0.921844482421875,257,1,1746594839.182922,1746594840.1897714
75.0,20.0,0.08595085144042969,0.9225177764892578,272,1,1746594769.2560453,1746594770.2645142
75.0,20.0,0.08560609817504883,0.9214160442352295,273,1,1746594807.2688844,1746594808.2759068
75.0,20.0,0.0812368392944336,0.9152050018310547,274,1,1746594845.2554739,1746594846.2519162
75.0,20.0,0.07993912696838379,0.9149031639099121,289,1,1746594775.2747362,1746594776.2695787
75.0,20.0,0.08541750907897949,0.9176757335662842,290,1,1746594813.1914377,1746594814.1945317
75.0,20.0,0.08471250534057617,0.9217510223388672,306,1,1746594781.1843722,1746594782.1908362
75.0,20.0,0.08608555793762207,0.9203281402587891,307,1,1746594819.210744,1746594820.217158
75.0,20.0,0.06593728065490723,0.9156100749969482,322,1,1746594749.1897151,1746594750.171263
75.0,20.0,0.14910626411437988,0.9325606822967529,323,1,1746594787.20491,1746594788.2865775
75.0,20.0,0.14602947235107422,0.9381856918334961,324,1,1746594825.2327824,1746594826.3169985
