prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.12948846817016602,12.270493507385254,1746748760.5162292,1746748772.9162116
550,286,0.08463430404663086,13.262019395828247,1746748760.6415465,1746748773.9882004
499,270,0.09074020385742188,12.907092332839966,1746748760.7042851,1746748773.7021182
1341,240,0.214613676071167,11.18657922744751,1746748760.7667315,1746748772.167925
765,125,0.28290772438049316,6.678098440170288,1746748760.8290677,1746748767.790074
981,181,0.09472966194152832,8.750810384750366,1746748760.8914843,1746748769.7370248
968,244,0.1575932502746582,11.221366167068481,1746748760.9539232,1746748772.332883
673,51,0.09988212585449219,2.2292776107788086,1746748761.0162866,1746748763.3454475
1209,77,0.19030141830444336,3.816190004348755,1746748761.141767,1746748765.148259
341,147,0.0706641674041748,7.510741472244263,1746748761.2039676,1746748768.7853734
517,250,0.07459855079650879,11.401004314422607,1746748761.2664013,1746748772.7420046
477,262,0.08274960517883301,12.241115093231201,1746748761.3292856,1746748773.6531506
1056,162,0.08275318145751953,7.920263051986694,1746748761.3922746,1746748769.395291
708,108,0.06290102005004883,5.7047271728515625,1746748761.5169394,1746748767.2845678
763,137,0.08879208564758301,7.026957988739014,1746748761.5799043,1746748768.6956546
875,247,0.1499176025390625,11.503817558288574,1746748761.7043922,1746748773.3581276
348,40,0.06271910667419434,1.798717975616455,1746748761.7663124,1746748763.6277497
190,130,0.06215023994445801,6.859341382980347,1746748761.8293734,1746748768.7508652
1184,327,0.18262863159179688,15.356196641921997,1746748761.9542856,1746748777.4931111
377,30,0.16053509712219238,1.5213215351104736,1746748762.0170069,1746748763.698864
924,222,0.09191679954528809,10.345943450927734,1746748762.0798934,1746748772.517754
826,173,0.1582188606262207,8.372602224349976,1746748762.1416888,1746748770.6725104
696,158,0.22325468063354492,7.627116680145264,1746748762.203931,1746748770.0543027
717,276,0.1618213653564453,12.543666362762451,1746748762.2668645,1746748774.9723527
507,246,0.17047595977783203,11.488573789596558,1746748762.329125,1746748773.988175
351,134,0.0842292308807373,6.707714796066284,1746748762.4538176,1746748769.2457619
340,84,0.08524680137634277,4.821441173553467,1746748762.5166254,1746748767.4233136
593,231,0.07379364967346191,10.602658748626709,1746748762.5790248,1746748773.2554777
982,186,0.17045068740844727,8.76736330986023,1746748762.641685,1746748771.5794992
450,272,0.08066725730895996,12.634280443191528,1746748762.828616,1746748775.5435638
633,120,0.11113739013671875,6.1583685874938965,1746748763.0167847,1746748769.286291
686,95,0.1080617904663086,5.138413906097412,1746748763.0787027,1746748768.3251786
1000,146,0.10611534118652344,7.192157506942749,1746748763.1411147,1746748770.4393883
487,9,0.054952383041381836,0.33221960067749023,1746748763.2042742,1746748763.5914469
558,45,0.1315314769744873,2.613523244857788,1746748763.3289597,1746748766.0740147
488,133,0.08648371696472168,6.5827391147613525,1746748763.3913412,1746748770.0605643
920,298,0.11655950546264648,13.984491348266602,1746748763.5787935,1746748777.6798446
1204,60,0.18701672554016113,3.3073019981384277,1746748763.7041554,1746748767.1984744
889,194,0.07313847541809082,8.842423677444458,1746748763.7665575,1746748772.6821198
775,193,0.12754392623901367,8.892621755599976,1746748764.1420069,1746748773.1621733
1218,162,0.3232290744781494,7.073023557662964,1746748764.3912616,1746748771.7875147
1556,51,0.2183985710144043,2.6591250896453857,1746748764.5792916,1746748767.4568157
602,150,0.08510494232177734,6.935380697250366,1746748764.6437469,1746748771.664233
778,206,0.0798346996307373,9.544331789016724,1746748764.7039914,1746748774.3281581
742,254,0.07166171073913574,11.547455787658691,1746748764.7671673,1746748776.386285
1443,189,0.1216268539428711,8.345926523208618,1746748764.8291187,1746748773.2966723
857,131,0.12239456176757812,5.735792398452759,1746748764.9540267,1746748770.812214
1024,175,0.14892959594726562,7.751065254211426,1746748765.0161703,1746748772.9161654
1152,67,0.24637794494628906,3.536893844604492,1746748765.1439674,1746748768.9272394
407,47,0.07529878616333008,2.6562962532043457,1746748765.2037807,1746748767.9353762
327,10,0.16692733764648438,0.3094930648803711,1746748765.2660468,1746748765.7424674
1402,177,0.0937349796295166,7.839184045791626,1746748765.3295105,1746748773.26243
516,17,0.24661970138549805,0.9967944622039795,1746748765.4536252,1746748766.6970396
1016,246,0.0597226619720459,11.144653558731079,1746748765.578779,1746748776.7831554
1003,238,0.09149312973022461,10.686518669128418,1746748765.7086484,1746748776.486661
760,206,0.09270882606506348,9.180440187454224,1746748765.767026,1746748775.040175
505,107,0.17395520210266113,4.921868324279785,1746748765.8920472,1746748770.9878712
831,129,0.28296971321105957,5.3296895027160645,1746748766.4545186,1746748772.0671782
858,8,0.21919941902160645,0.43207883834838867,1746748766.5162115,1746748767.16749
505,119,0.20126128196716309,4.821596622467041,1746748766.6414044,1746748771.6642628
1120,51,0.11030840873718262,2.1680593490600586,1746748766.7042873,1746748768.9826553
634,115,0.087799072265625,4.518879413604736,1746748766.766293,1746748771.3729718
634,83,0.14616990089416504,3.2331197261810303,1746748766.8291416,1746748770.2084317
1133,215,0.10989022254943848,9.09252381324768,1746748766.9536085,1746748776.1560228
1326,189,0.09260344505310059,7.801687240600586,1746748767.1458435,1746748775.0401344
1110,223,0.1937110424041748,9.384554624557495,1746748767.2045107,1746748776.7827766
974,193,0.14647316932678223,8.983278512954712,1746748767.5793319,1746748776.7090838
1805,10,5.204030990600586,0.5005574226379395,1746748768.016789,1746748773.7213776
