prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
658,275,0.05905318260192871,7.42071270942688,1746769856.873968,1746769864.3537343
512,332,0.048078298568725586,9.377738952636719,1746769856.913953,1746769866.3397706
517,232,0.03820919990539551,5.992703914642334,1746769856.9541974,1746769862.985111
483,270,0.047580718994140625,7.342322111129761,1746769856.9938955,1746769864.3837986
1309,240,0.03856515884399414,6.368628978729248,1746769857.0339153,1746769863.4411101
742,125,0.0426487922668457,2.8816745281219482,1746769857.0739174,1746769859.998241
947,181,0.041606903076171875,4.540791273117065,1746769857.1141894,1746769861.6965878
973,244,0.057268619537353516,6.649906158447266,1746769857.1544957,1746769863.861671
646,51,0.04944634437561035,1.008211374282837,1746769857.1937582,1746769858.251418
267,475,0.03968644142150879,13.155789375305176,1746769857.23397,1746769870.4294462
1179,77,0.04197382926940918,1.6657216548919678,1746769857.2737567,1746769858.9814525
306,234,0.03608083724975586,6.400951862335205,1746769857.3139114,1746769863.7509449
482,250,0.04902386665344238,6.94999361038208,1746769857.3546038,1746769864.3536215
448,262,0.041785240173339844,7.45762038230896,1746769857.3943024,1746769864.8937082
1029,162,0.04143357276916504,4.131628751754761,1746769857.4346209,1746769861.6076834
199,310,0.037032365798950195,9.16137146949768,1746769857.4742024,1746769866.6726065
680,108,0.04881143569946289,2.6178324222564697,1746769857.5144615,1746769860.1811056
731,137,0.05153918266296387,3.447349786758423,1746769857.5539796,1746769861.0528688
779,460,0.05002951622009277,12.88689374923706,1746769857.5944905,1746769870.531414
845,247,0.05059957504272461,7.146376132965088,1746769857.6347592,1746769864.8317351
323,53,0.048920631408691406,1.211531162261963,1746769857.6743855,1746769858.9348376
165,130,0.03797626495361328,3.324758291244507,1746769857.7139137,1746769861.0766487
1041,297,0.039046287536621094,8.956437349319458,1746769857.754169,1746769866.749653
1128,327,0.06360340118408203,9.863900184631348,1746769857.794107,1746769867.7216108
344,30,0.05083417892456055,0.6797778606414795,1746769857.8347065,1746769858.56532
899,222,0.05091691017150879,6.3586530685424805,1746769857.8744338,1746769864.2840042
802,173,0.05305743217468262,4.738440752029419,1746769857.9139912,1746769862.7054896
647,158,0.05872201919555664,4.2839086055755615,1746769857.954436,1746769862.297067
689,276,0.04756951332092285,8.297776699066162,1746769857.9944649,1746769866.3398113
473,246,0.0495302677154541,7.321019649505615,1746769858.0341892,1746769865.4047394
707,321,0.06284356117248535,9.74830436706543,1746769858.0741422,1746769867.8852904
326,134,0.04814958572387695,3.6139163970947266,1746769858.1141272,1746769861.7761934
312,84,0.05062150955200195,2.142747163772583,1746769858.1545727,1746769860.3479416
570,231,0.0501551628112793,6.865837335586548,1746769858.1940067,1746769865.1099994
960,186,0.05795025825500488,5.39033842086792,1746769858.2345166,1746769863.6828055
1188,416,0.05562758445739746,11.930830001831055,1746769858.2742887,1746769870.2607465
887,434,0.0460207462310791,12.28980278968811,1746769858.3139505,1746769870.6497743
424,272,0.05734515190124512,8.399224042892456,1746769858.360094,1746769866.8166635
501,261,0.0510096549987793,7.961911201477051,1746769858.3940206,1746769866.406942
860,217,0.06103992462158203,6.533602714538574,1746769858.4338915,1746769865.0285344
611,120,0.0608823299407959,3.2949209213256836,1746769858.4745028,1746769861.8303063
645,96,0.04283404350280762,2.5481624603271484,1746769858.5142152,1746769861.1052122
972,146,0.06851339340209961,4.081796169281006,1746769858.5539775,1746769862.7042873
466,9,0.05600261688232422,0.18209266662597656,1746769858.5944295,1746769858.832525
747,253,0.04918718338012695,7.786282777786255,1746769858.634768,1746769866.4702384
532,48,0.058774471282958984,1.230940341949463,1746769858.6745396,1746769859.964255
453,129,0.0611422061920166,3.602562427520752,1746769858.713993,1746769862.377698
896,433,0.054654836654663086,12.183811664581299,1746769858.7542498,1746769870.9927166
743,350,0.06958961486816406,10.40062689781189,1746769858.7945504,1746769869.2647674
886,298,0.05636429786682129,9.198424339294434,1746769858.8347821,1746769868.0895712
586,281,0.055687904357910156,8.763428926467896,1746769858.8742135,1746769867.6933305
1170,112,0.06518888473510742,3.1456940174102783,1746769858.9141936,1746769862.1250768
850,205,0.05407977104187012,6.2406346797943115,1746769858.954385,1746769865.2491
543,272,0.06061100959777832,8.510024309158325,1746769858.9942772,1746769867.5649128
709,327,0.04486083984375,9.87956166267395,1746769859.0339441,1746769868.9583669
