prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.0676572322845459,0.921881914138794,1603,1,1746570535.3931425,1746570536.382682
76.0,20.0,0.11362314224243164,0.9562487602233887,1604,1,1746570543.0100765,1746570544.079949
76.0,20.0,0.09280920028686523,0.9550027847290039,1605,1,1746570550.6262934,1746570551.674106
76.0,20.0,0.06737923622131348,0.9327423572540283,1606,1,1746570558.265134,1746570559.2652562
76.0,20.0,0.06733846664428711,0.9216129779815674,1607,1,1746570565.7819552,1746570566.7709072
76.0,20.0,0.09988570213317871,0.9472067356109619,1608,1,1746570573.399442,1746570574.4465349
76.0,20.0,0.07208466529846191,0.9633035659790039,1609,1,1746570581.0161743,1746570582.051563
76.0,20.0,0.0670933723449707,0.9564964771270752,1610,1,1746570588.653424,1746570589.6770144
76.0,20.0,0.06724214553833008,0.9211649894714355,1611,1,1746570596.1729717,1746570597.1613796
76.0,20.0,0.10475969314575195,0.9645175933837891,1612,1,1746570603.7904925,1746570604.8597705
76.0,20.0,0.09081578254699707,0.9452297687530518,1613,1,1746570611.4101279,1746570612.446174
76.0,20.0,0.1135416030883789,0.9489426612854004,1614,1,1746570619.0077074,1746570620.0701919
76.0,20.0,0.06714153289794922,0.923370361328125,1615,1,1746570626.6256466,1746570627.616159
76.0,20.0,0.09470987319946289,0.9436697959899902,1619,1,1746570528.981175,1746570530.0195549
76.0,20.0,0.0670783519744873,0.9218080043792725,1620,1,1746570536.597883,1746570537.5867698
76.0,20.0,0.11733412742614746,0.9483082294464111,1621,1,1746570544.2141662,1746570545.2798095
76.0,20.0,0.09434676170349121,0.9476358890533447,1622,1,1746570551.8303065,1746570552.87229
76.0,20.0,0.09490180015563965,0.9393880367279053,1623,1,1746570559.3694599,1746570560.4037502
76.0,20.0,0.06799983978271484,0.9220242500305176,1624,1,1746570566.987202,1746570567.9772265
76.0,20.0,0.0945272445678711,0.9468555450439453,1625,1,1746570574.603947,1746570575.6453304
76.0,20.0,0.08501148223876953,0.9460024833679199,1626,1,1746570582.2206745,1746570583.251689
76.0,20.0,0.06897163391113281,0.938361644744873,1627,1,1746570589.857814,1746570590.865148
76.0,20.0,0.06815910339355469,0.923346996307373,1628,1,1746570597.3776574,1746570598.369164
76.0,20.0,0.07085490226745605,0.9454288482666016,1629,1,1746570604.9954581,1746570606.0117424
76.0,20.0,0.08161664009094238,0.945512056350708,1630,1,1746570612.6154282,1746570613.6425576
76.0,20.0,0.11048412322998047,0.9351353645324707,1631,1,1746570620.2126403,1746570621.2582603
76.0,20.0,0.08931398391723633,0.9449632167816162,1636,1,1746570530.1834085,1746570531.217686
76.0,20.0,0.06710410118103027,0.9221158027648926,1637,1,1746570537.8003695,1746570538.7895896
76.0,20.0,0.11394810676574707,0.9449548721313477,1638,1,1746570545.4166617,1746570546.475565
76.0,20.0,0.09095168113708496,0.9466335773468018,1639,1,1746570553.0324235,1746570554.0700092
76.0,20.0,0.08219742774963379,0.9458935260772705,1640,1,1746570560.5719726,1746570561.600064
76.0,20.0,0.06808590888977051,0.9230728149414062,1641,1,1746570568.1893778,1746570569.180537
76.0,20.0,0.08973979949951172,0.9471747875213623,1642,1,1746570575.806159,1746570576.8430743
76.0,20.0,0.08003807067871094,0.9467229843139648,1643,1,1746570583.4230185,1746570584.44978
76.0,20.0,0.10555458068847656,0.9443364143371582,1644,1,1746570591.0606444,1746570592.1105359
76.0,20.0,0.06745362281799316,0.9215309619903564,1645,1,1746570598.5798426,1746570599.5688276
76.0,20.0,0.11385083198547363,0.9457061290740967,1646,1,1746570606.1983554,1746570607.2579129
76.0,20.0,0.07601475715637207,0.9478034973144531,1647,1,1746570613.81807,1746570614.8418887
76.0,20.0,0.09378290176391602,0.9467477798461914,1648,1,1746570621.4151473,1746570622.4556785
76.0,20.0,0.08444404602050781,0.9485113620758057,1653,1,1746570531.3856175,1746570532.4185731
76.0,20.0,0.06755542755126953,0.9216084480285645,1654,1,1746570539.0025146,1746570539.991679
76.0,20.0,0.10791897773742676,0.9448060989379883,1655,1,1746570546.6186464,1746570547.671372
76.0,20.0,0.08727049827575684,0.9481711387634277,1656,1,1746570554.2344778,1746570555.26992
76.0,20.0,0.076019287109375,0.9464337825775146,1657,1,1746570561.7746546,1746570562.7971082
76.0,20.0,0.06800246238708496,0.9212319850921631,1658,1,1746570569.3914928,1746570570.3807278
76.0,20.0,0.0855870246887207,0.9444689750671387,1659,1,1746570577.0084848,1746570578.0385413
76.0,20.0,0.07764792442321777,0.9460279941558838,1660,1,1746570584.6251843,1746570585.6488776
76.0,20.0,0.09782218933105469,0.9459080696105957,1661,1,1746570592.2648718,1746570593.3086026
76.0,20.0,0.06763029098510742,0.9239552021026611,1662,1,1746570599.78202,1746570600.773606
76.0,20.0,0.1071007251739502,0.9469239711761475,1663,1,1746570607.4008334,1746570608.4548588
76.0,20.0,0.0723876953125,0.9450974464416504,1664,1,1746570615.0208995,1746570616.0383854
76.0,20.0,0.08882427215576172,0.9454121589660645,1665,1,1746570622.6175184,1746570623.6517553
76.0,20.0,0.08226585388183594,0.9436893463134766,1670,1,1746570532.5878365,1746570533.6137924
76.0,20.0,0.06725621223449707,0.9233288764953613,1671,1,1746570540.2047622,1746570541.1953478
76.0,20.0,0.1006326675415039,0.9463002681732178,1672,1,1746570547.8210413,1746570548.867975
76.0,20.0,0.08353137969970703,0.947312593460083,1673,1,1746570555.436675,1746570556.4675195
76.0,20.0,0.07116961479187012,0.9443979263305664,1674,1,1746570562.9769433,1746570563.9925113
76.0,20.0,0.06689453125,0.922144889831543,1675,1,1746570570.5937388,1746570571.5827785
76.0,20.0,0.08075761795043945,0.94474196434021,1676,1,1746570578.2106314,1746570579.2361317
76.0,20.0,0.07161140441894531,0.9451029300689697,1677,1,1746570585.8278787,1746570586.8445938
76.0,20.0,0.09221458435058594,0.9488677978515625,1678,1,1746570593.4671118,1746570594.508195
76.0,20.0,0.06836962699890137,0.9259533882141113,1679,1,1746570600.984268,1746570601.9785914
76.0,20.0,0.10216689109802246,0.9463603496551514,1680,1,1746570608.6039467,1746570609.6524744
76.0,20.0,0.11602115631103516,0.9451794624328613,1681,1,1746570616.2235842,1746570617.2847857
76.0,20.0,0.08405590057373047,0.9487261772155762,1682,1,1746570623.8199043,1746570624.852687
76.0,20.0,0.07545709609985352,0.9462776184082031,1687,1,1746570533.7902055,1746570534.8119404
76.0,20.0,0.06768465042114258,0.9271867275238037,1688,1,1746570541.4067361,1746570542.401608
76.0,20.0,0.09772014617919922,0.9446170330047607,1689,1,1746570549.0235145,1746570550.0658522
76.0,20.0,0.07909345626831055,0.9450674057006836,1690,1,1746570556.6390696,1746570557.663231
76.0,20.0,0.11555743217468262,0.9482479095458984,1691,1,1746570564.1790173,1746570565.2428231
76.0,20.0,0.06756711006164551,0.9214968681335449,1692,1,1746570571.7958891,1746570572.7849538
76.0,20.0,0.07409787178039551,0.9486234188079834,1693,1,1746570579.412787,1746570580.4355087
76.0,20.0,0.11469173431396484,0.9449272155761719,1694,1,1746570587.0305722,1746570588.0901918
76.0,20.0,0.09386348724365234,0.9456543922424316,1695,1,1746570594.5694232,1746570595.6089416
76.0,20.0,0.06718039512634277,0.9241673946380615,1696,1,1746570602.1868784,1746570603.178227
76.0,20.0,0.09636616706848145,0.9473898410797119,1697,1,1746570609.8064137,1746570610.8501701
76.0,20.0,0.1084601879119873,0.9461398124694824,1698,1,1746570617.4268575,1746570618.481458
76.0,20.0,0.08193659782409668,0.944965124130249,1699,1,1746570625.0222383,1746570626.0491402
76.0,20.0,0.07089543342590332,0.9586622714996338,1704,1,1746570534.992265,1746570536.0218232
76.0,20.0,0.06709885597229004,0.920367956161499,1705,1,1746570542.608881,1746570543.5963485
76.0,20.0,0.09308600425720215,0.949739933013916,1706,1,1746570550.2254653,1746570551.268292
76.0,20.0,0.09079623222351074,0.9558873176574707,1707,1,1746570558.164712,1746570559.211396
76.0,20.0,0.11350250244140625,0.9603736400604248,1708,1,1746570565.381147,1746570566.4550235
76.0,20.0,0.06859469413757324,0.9331955909729004,1709,1,1746570572.998389,1746570574.0001798
76.0,20.0,0.07102465629577637,0.96012282371521,1710,1,1746570580.6152055,1746570581.6463532
76.0,20.0,0.0796976089477539,0.9451889991760254,1711,1,1746570588.5532322,1746570589.5781198
76.0,20.0,0.0874636173248291,0.9521033763885498,1712,1,1746570595.7720242,1746570596.811592
76.0,20.0,0.06751656532287598,0.9213557243347168,1713,1,1746570603.389636,1746570604.3785088
76.0,20.0,0.09210515022277832,0.9439654350280762,1714,1,1746570611.0091536,1746570612.0452247
76.0,20.0,0.06699109077453613,0.9504165649414062,1715,1,1746570619.0088062,1746570620.0262146
76.0,20.0,0.07646560668945312,0.9494378566741943,1716,1,1746570626.2246847,1746570627.2505887
76.0,20.0,0.09667491912841797,0.9434237480163574,1720,1,1746570528.580449,1746570529.6205482
76.0,20.0,0.08290266990661621,0.9460878372192383,1721,1,1746570536.1949313,1746570537.2239223
76.0,20.0,0.06748199462890625,0.9200718402862549,1722,1,1746570543.8115187,1746570544.799073
76.0,20.0,0.09602546691894531,0.9468579292297363,1723,1,1746570551.4276946,1746570552.4705782
76.0,20.0,0.09909319877624512,0.9370613098144531,1724,1,1746570559.0667503,1746570560.1029053
76.0,20.0,0.07732868194580078,0.9481680393218994,1725,1,1746570566.5835826,1746570567.6090798
76.0,20.0,0.0971226692199707,0.9255757331848145,1726,1,1746570574.2014577,1746570575.2241566
76.0,20.0,0.08375024795532227,0.948899507522583,1727,1,1746570581.81792,1746570582.8505704
76.0,20.0,0.0725259780883789,0.9393928050994873,1728,1,1746570589.4551313,1746570590.4670506
76.0,20.0,0.09159064292907715,0.9469878673553467,1729,1,1746570596.9750419,1746570598.013621
76.0,20.0,0.06751489639282227,0.9213504791259766,1730,1,1746570604.592696,1746570605.5815618
76.0,20.0,0.08486580848693848,0.9456963539123535,1731,1,1746570612.2124345,1746570613.2429974
76.0,20.0,0.11660885810852051,0.9453370571136475,1732,1,1746570619.8096309,1746570620.8715773
76.0,20.0,0.07777714729309082,0.9362277984619141,1733,1,1746570627.4276927,1746570628.441698
76.0,20.0,0.08804631233215332,0.9466016292572021,1737,1,1746570529.7826543,1746570530.8173027
76.0,20.0,0.0751640796661377,0.94590163230896,1738,1,1746570537.3995807,1746570538.420647
