prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.17496943473815918,16.076033353805542,1746541125.371855,1746541141.6228583
543,332,0.2300872802734375,20.3835186958313,1746541125.872676,1746541146.4862823
550,286,0.24321532249450684,17.508199453353882,1746541126.3724616,1746541144.1238768
499,270,0.17506027221679688,16.501783847808838,1746541126.872365,1746541143.5492094
1341,240,0.501889705657959,13.959803581237793,1746541127.3724205,1746541141.834114
765,125,0.13561725616455078,7.064938306808472,1746541127.8722887,1746541135.0728464
981,181,0.1873493194580078,11.330457210540771,1746541128.3725548,1746541139.8903615
968,244,0.28537416458129883,14.47856593132019,1746541128.87238,1746541143.6363204
673,51,0.32500123977661133,2.6910593509674072,1746541129.3724082,1746541132.3884704
311,475,0.12589669227600098,30.717485427856445,1746541129.8721614,1746541160.715544
1209,77,0.46645259857177734,4.462913751602173,1746541130.3720436,1746541135.3014107
341,151,0.11283469200134277,8.349287748336792,1746541130.8723273,1746541139.3344502
517,250,0.1307387351989746,15.567870140075684,1746541131.371704,1746541147.0703135
477,262,0.2311406135559082,15.677777290344238,1746541131.8721945,1746541147.7811127
1056,162,0.17474794387817383,9.182188749313354,1746541132.3721154,1746541141.7290528
222,310,0.13023161888122559,20.291139364242554,1746541132.872447,1746541153.2938187
708,108,0.32271909713745117,5.691472768783569,1746541133.3723023,1746541139.3864944
763,137,0.15220856666564941,8.985096216201782,1746541133.8718555,1746541143.0091605
818,460,0.13289713859558105,27.854843854904175,1746541134.3724554,1746541162.3601968
875,247,0.2020576000213623,16.330554246902466,1746541134.8719883,1746541151.4046004
348,42,0.09602069854736328,3.2929255962371826,1746541135.3719313,1746541138.7608778
190,130,0.11644625663757324,7.6996495723724365,1746541135.8725982,1746541143.6886945
1071,297,0.4328794479370117,19.543855667114258,1746541136.37233,1746541156.3490653
1184,327,0.44836997985839844,21.483020544052124,1746541136.8723202,1746541158.8037114
377,30,0.15420007705688477,2.1493000984191895,1746541137.3723028,1746541139.6758032
924,222,0.3667926788330078,14.160594940185547,1746541137.8717144,1746541152.3991022
826,173,0.17152786254882812,10.71042013168335,1746541138.371854,1746541149.2538025
696,158,0.316866397857666,9.400819063186646,1746541138.871633,1746541148.5893188
717,276,0.3301513195037842,16.97982621192932,1746541139.3724434,1746541156.6824212
507,246,0.23175859451293945,14.740922689437866,1746541139.8721523,1746541154.8448339
816,321,0.2863905429840088,20.948525428771973,1746541140.3721123,1746541161.6070285
351,134,0.19673919677734375,7.844118118286133,1746541140.8724031,1746541148.9132607
340,84,0.19619536399841309,5.5234458446502686,1746541141.372553,1746541147.0921948
593,231,0.285398006439209,14.11769962310791,1746541141.8753457,1746541156.2784438
982,186,0.19301939010620117,11.04111909866333,1746541142.3720937,1746541153.6062326
1214,416,0.28421473503112793,25.65727949142456,1746541142.872635,1746541168.8141296
899,434,0.17625164985656738,29.676670789718628,1746541143.3717303,1746541173.2246535
450,272,0.1942915916442871,18.60766577720642,1746541143.8740718,1746541162.6760297
535,246,0.24711370468139648,16.40047860145569,1746541144.37209,1746541161.019683
898,250,0.3746929168701172,15.549898386001587,1746541144.872611,1746541160.7972028
633,120,0.26121997833251953,6.871596574783325,1746541145.371734,1746541152.5045507
686,101,0.18051743507385254,6.920817136764526,1746541145.8721066,1746541152.9734416
1000,146,0.3976113796234131,8.322246789932251,1746541146.3726473,1746541155.0925057
487,9,0.14350485801696777,0.4804422855377197,1746541146.8718915,1746541147.495839
782,253,0.12387442588806152,17.59355902671814,1746541147.3717227,1746541165.0891566
558,39,0.28105902671813965,2.5046963691711426,1746541147.8744547,1746541150.6602104
488,129,0.1773214340209961,7.339095830917358,1746541148.3747497,1746541155.8911672
926,433,0.37953948974609375,30.414846181869507,1746541148.8723328,1746541179.6667187
780,350,0.23540139198303223,24.205676794052124,1746541149.3723004,1746541173.8133788
920,298,0.13788151741027832,20.182798862457275,1746541149.8720684,1746541170.1927493
614,281,0.2658848762512207,17.383265018463135,1746541150.3719897,1746541168.0211399
1204,112,0.47560930252075195,7.5157599449157715,1746541150.8717468,1746541158.8631163
889,195,0.14087772369384766,13.353397369384766,1746541151.371791,1746541164.8660667
578,272,0.16504740715026855,18.26310443878174,1746541151.8725178,1746541170.3006701
738,327,0.3000190258026123,22.661903858184814,1746541152.3723872,1746541175.3343103
997,289,0.19803929328918457,18.092997312545776,1746541152.8720105,1746541171.1630478
879,381,0.18097901344299316,26.66332459449768,1746541153.3720164,1746541180.2163203
844,326,0.2807154655456543,20.50345802307129,1746541153.8717937,1746541174.6559677
775,193,0.19488143920898438,13.199671745300293,1746541154.3721595,1746541167.7667131
1596,223,0.16298770904541016,14.14869475364685,1746541154.8721795,1746541169.1838622
895,261,0.13622045516967773,18.25044059753418,1746541155.372115,1746541173.7587764
