prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.11845278739929199,0.9958906173706055,4803,1,1746573088.3441274,1746573089.458471
76.0,20.0,0.08911895751953125,1.0029613971710205,4804,1,1746573091.2563071,1746573092.3483882
76.0,20.0,0.0685892105102539,0.9424965381622314,4805,1,1746573094.1649022,1746573095.1759882
76.0,20.0,0.0919792652130127,1.003554105758667,4806,1,1746573097.0743132,1746573098.169847
76.0,20.0,0.11252880096435547,1.002856969833374,4807,1,1746573099.9849958,1746573101.100382
76.0,20.0,0.09182024002075195,0.9967458248138428,4808,1,1746573102.894126,1746573103.9826922
76.0,20.0,0.11019539833068848,0.9970273971557617,4809,1,1746573105.8059313,1746573106.9131546
76.0,20.0,0.08423161506652832,0.9886510372161865,4810,1,1746573108.7146022,1746573109.7874851
76.0,20.0,0.0899972915649414,0.9480884075164795,4811,1,1746573111.7241607,1746573112.7622468
76.0,20.0,0.07449817657470703,0.9588873386383057,4812,1,1746573114.6331947,1746573115.6665804
76.0,20.0,0.08838510513305664,0.9885265827178955,4813,1,1746573117.5058804,1746573118.5827923
76.0,20.0,0.10533905029296875,0.986738920211792,4814,1,1746573120.416378,1746573121.5084562
76.0,20.0,0.08493232727050781,0.9907917976379395,4815,1,1746573123.3254974,1746573124.4012225
76.0,20.0,0.11285543441772461,0.9954624176025391,4816,1,1746573126.3355253,1746573127.4438434
76.0,20.0,0.088104248046875,0.9946062564849854,4817,1,1746573129.2438045,1746573130.3265154
76.0,20.0,0.11407995223999023,0.9860639572143555,4818,1,1746573132.153476,1746573133.2536201
76.0,20.0,0.07249259948730469,0.937856912612915,4819,1,1746573085.8368993,1746573086.8472493
125.0,20.0,0.1013636589050293,1.0115623474121094,4819,2,1746573135.162425,1746573136.2753513
76.0,20.0,0.09824681282043457,0.9470548629760742,4820,1,1746573088.7460525,1746573089.7913544
125.0,20.0,0.1123514175415039,1.0017681121826172,4820,2,1746573138.0723417,1746573139.1864617
76.0,20.0,0.10680246353149414,1.004173994064331,4821,1,1746573091.6572788,1746573092.768256
125.0,20.0,0.08417916297912598,0.9490320682525635,4821,2,1746573140.9833248,1746573142.0165365
76.0,20.0,0.09513521194458008,0.9865758419036865,4822,1,1746573094.566029,1746573095.6477404
125.0,20.0,0.10935163497924805,1.0172924995422363,4822,2,1746573143.8936377,1746573145.020282
76.0,20.0,0.11655187606811523,0.9983313083648682,4823,1,1746573097.5757172,1746573098.6906009
125.0,20.0,0.09663963317871094,0.9842047691345215,4823,2,1746573146.830986,1746573147.911831
76.0,20.0,0.09375357627868652,0.9950859546661377,4824,1,1746573100.4861624,1746573101.5750024
125.0,20.0,0.10847711563110352,1.0433669090270996,4824,2,1746573149.743296,1746573150.8951404
76.0,20.0,0.09919881820678711,0.9446604251861572,4825,1,1746573103.3954911,1746573104.4393508
125.0,20.0,0.0831747055053711,0.9457426071166992,4825,2,1746573152.6523154,1746573153.681233
76.0,20.0,0.08419990539550781,0.9902422428131104,4826,1,1746573106.3069885,1746573107.3814309
125.0,20.0,0.11697196960449219,1.016232967376709,4826,2,1746573155.5652635,1746573156.6984692
76.0,20.0,0.1020355224609375,0.9917120933532715,4827,1,1746573109.2157986,1746573110.3095467
125.0,20.0,0.11666131019592285,0.9710538387298584,4827,2,1746573158.479139,1746573159.5668545
76.0,20.0,0.07049012184143066,0.9919452667236328,4828,1,1746573112.1251702,1746573113.1876059
125.0,20.0,0.10519003868103027,1.0074145793914795,4828,2,1746573161.3893473,1746573162.5019522
76.0,20.0,0.09092450141906738,1.0002152919769287,4829,1,1746573115.0341847,1746573116.125325
125.0,20.0,0.10051321983337402,0.9578282833099365,4829,2,1746573164.3004909,1746573165.3588326
76.0,20.0,0.10864686965942383,0.9868664741516113,4830,1,1746573118.0069911,1746573119.1025047
125.0,20.0,0.127699613571167,0.9451286792755127,4830,2,1746573167.3135364,1746573168.386365
76.0,20.0,0.07140707969665527,0.9956581592559814,4831,1,1746573120.9173865,1746573121.9844522
125.0,20.0,0.08646345138549805,1.0300076007843018,4831,2,1746573170.2252152,1746573171.3416865
76.0,20.0,0.06854820251464844,0.9432387351989746,4832,1,1746573123.826759,1746573124.8385463
125.0,20.0,0.08788132667541504,1.0230002403259277,4832,2,1746573173.1357388,1746573174.2466207
76.0,20.0,0.09017539024353027,0.9444515705108643,4833,1,1746573126.7364557,1746573127.771083
125.0,20.0,0.12812399864196777,1.0441391468048096,4833,2,1746573176.050578,1746573177.2228415
76.0,20.0,0.11072468757629395,0.9879915714263916,4834,1,1746573129.6448977,1746573130.7436142
125.0,20.0,0.07421016693115234,1.0425505638122559,4834,2,1746573178.9429893,1746573180.0597503
76.0,20.0,0.09905314445495605,0.9475793838500977,4835,1,1746573132.654686,1746573133.701319
125.0,20.0,0.10562252998352051,1.027477741241455,4835,2,1746573181.9550612,1746573183.088162
76.0,20.0,0.11350274085998535,0.9460549354553223,4836,1,1746573086.3383954,1746573087.3979533
125.0,20.0,0.09231424331665039,1.0229878425598145,4836,2,1746573135.6636732,1746573136.7789757
174.0,20.0,0.11245560646057129,0.9815568923950195,4836,3,1746573184.9676983,1746573186.061711
76.0,20.0,0.09637975692749023,0.9444282054901123,4837,1,1746573089.2491233,1746573090.2899315
125.0,20.0,0.0771491527557373,0.9448099136352539,4837,2,1746573138.5735965,1746573139.5955558
76.0,20.0,0.08235573768615723,0.9902462959289551,4838,1,1746573092.1583142,1746573093.230917
125.0,20.0,0.10026717185974121,1.0232412815093994,4838,2,1746573141.4847052,1746573142.608214
