prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.18057036399841309,29.97498607635498,1746543826.185753,1746543856.3413098
543,332,0.2155001163482666,35.6152982711792,1746543826.2912438,1746543862.1220424
550,286,0.24033069610595703,31.161739826202393,1746543826.3963242,1746543857.7983952
499,270,0.16590118408203125,30.04263925552368,1746543826.5017905,1746543856.7103312
1341,240,0.5299112796783447,26.362200498580933,1746543826.6074128,1746543853.4995248
765,125,0.8337302207946777,15.7706458568573,1746543826.7120333,1746543843.3164098
981,181,0.3520638942718506,21.07074999809265,1746543826.8176448,1746543848.240459
968,244,0.6239535808563232,26.30363440513611,1746543826.9231007,1746543853.850689
673,51,0.5179176330566406,10.428406476974487,1746543827.028567,1746543837.9748917
311,475,0.7914941310882568,52.16102957725525,1746543827.1332138,1746543880.0857377
1209,77,0.435161828994751,12.498675346374512,1746543827.2383165,1746543840.172154
341,150,0.5806324481964111,17.245781183242798,1746543827.3437212,1746543845.170135
517,250,0.4763052463531494,27.163864850997925,1746543827.4489784,1746543855.089149
477,262,0.25305962562561035,28.40418243408203,1746543827.5546927,1746543856.2119353
1056,162,0.6417417526245117,18.18753719329834,1746543827.660106,1746543846.4893854
222,310,0.14273977279663086,33.22013783454895,1746543827.7656858,1746543861.1285636
708,108,0.30325937271118164,14.2906653881073,1746543827.8705728,1746543842.4644978
763,137,0.46721649169921875,16.38667345046997,1746543827.9759662,1746543844.8298564
818,460,0.5588839054107666,49.939918756484985,1746543828.0807474,1746543878.5795505
875,247,0.45504283905029297,26.080864191055298,1746543828.1861515,1746543854.722059
348,42,0.28958749771118164,8.07690954208374,1746543828.2914815,1746543836.6579788
190,130,0.34390854835510254,15.152169227600098,1746543828.3963444,1746543843.8924224
1071,297,0.1845383644104004,31.027653694152832,1746543828.5016851,1746543859.7138774
1184,327,0.4854300022125244,34.29305052757263,1746543828.6071784,1746543863.3856592
377,30,0.9905049800872803,5.594310522079468,1746543828.7126908,1746543835.2975073
924,222,0.3630685806274414,23.22114658355713,1746543828.8173885,1746543852.401604
826,173,0.7769801616668701,18.72836661338806,1746543828.9230251,1746543848.4283721
696,158,0.6738779544830322,17.021018028259277,1746543829.0278895,1746543846.7227857
717,276,0.963212251663208,28.487310647964478,1746543829.1337452,1746543858.5842683
507,246,0.859795093536377,25.06157922744751,1746543829.238388,1746543855.1597629
816,321,0.3605184555053711,35.11662149429321,1746543829.3442404,1746543864.8213809
351,134,0.48745274543762207,14.975821018218994,1746543829.4490173,1746543844.9122915
340,84,0.5410995483398438,11.244080543518066,1746543829.5543807,1746543841.339561
593,231,0.2770235538482666,23.90898633003235,1746543829.6598134,1746543853.8458235
982,186,0.7161359786987305,19.040220260620117,1746543829.7650712,1746543849.5214276
1214,416,0.6086544990539551,43.26377725601196,1746543829.8707194,1746543873.743152
899,434,0.5029728412628174,44.564162731170654,1746543829.9759667,1746543875.0431025
450,272,0.8984799385070801,27.480488061904907,1746543830.0802634,1746543858.459232
535,246,0.7902176380157471,24.67562747001648,1746543830.1862617,1746543855.652107
898,250,0.3409726619720459,26.268463373184204,1746543830.2912903,1746543856.9007266
633,120,0.5813865661621094,12.989632844924927,1746543830.3967357,1746543843.9677553
686,101,1.1863155364990234,10.9076988697052,1746543830.5021937,1746543842.5962083
1000,146,1.0790679454803467,14.527413368225098,1746543830.6067145,1746543846.2131963
487,9,0.1384565830230713,0.9903504848480225,1746543830.712693,1746543831.841502
782,253,0.8725101947784424,24.651390552520752,1746543830.8174486,1746543856.3413496
558,39,0.7638294696807861,5.502031564712524,1746543830.9229834,1746543837.188845
488,133,0.20001721382141113,14.994798183441162,1746543831.027708,1746543846.222524
926,433,0.8325388431549072,43.7783088684082,1746543831.1333113,1746543875.7441595
780,350,0.3284189701080322,38.41074252128601,1746543831.2388246,1746543869.9779866
920,298,0.49675631523132324,32.44299674034119,1746543831.3437922,1746543864.283546
614,281,0.39208459854125977,29.383369207382202,1746543831.449797,1746543861.225251
1204,112,0.560971736907959,12.486114501953125,1746543831.5546162,1746543844.6017027
889,195,0.3065221309661865,18.312931776046753,1746543831.6599345,1746543850.279389
578,272,0.34795641899108887,28.098570585250854,1746543831.7653039,1746543860.2118313
738,327,0.9601278305053711,35.145793437957764,1746543831.870017,1746543867.9759386
997,289,0.8575096130371094,29.68312954902649,1746543831.976025,1746543862.5166645
879,381,0.7507007122039795,39.575735569000244,1746543832.080714,1746543872.4071505
844,326,0.17930078506469727,32.79900932312012,1746543832.1858988,1746543865.1642091
775,193,0.8252480030059814,19.220937252044678,1746543832.2911544,1746543852.33734
1596,223,0.7182247638702393,22.41177010536194,1746543832.3964562,1746543855.5264518
