prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.17621350288391113,29.262690782546997,1746543657.466553,1746543686.9054575
543,332,0.2708261013031006,36.22890782356262,1746543657.5780365,1746543694.0777707
550,286,0.161057710647583,31.892022848129272,1746543657.688562,1746543689.7416427
499,270,0.24879026412963867,30.022482872009277,1746543657.7998648,1746543688.0711384
1341,240,0.5925948619842529,26.26176381111145,1746543657.9115517,1746543684.7659106
765,125,0.12656641006469727,16.63877820968628,1746543658.0221114,1746543674.7874565
981,181,0.20680737495422363,21.370506525039673,1746543658.1336718,1746543679.710986
968,244,0.6372015476226807,26.26496934890747,1746543658.244853,1746543685.1470242
673,51,0.22025442123413086,9.834531545639038,1746543658.355228,1746543668.4100144
311,475,0.4144477844238281,50.32956123352051,1746543658.4669406,1746543709.21095
1209,77,0.2358837127685547,12.06646728515625,1746543658.578004,1746543670.8803551
341,162,0.26155710220336914,19.01336979866028,1746543658.6887841,1746543677.9637113
517,250,0.26980066299438477,26.859489917755127,1746543658.8005736,1746543685.9298644
477,262,0.17212677001953125,28.45664381980896,1746543658.9114738,1746543687.5402446
1056,162,0.18048954010009766,19.036861181259155,1746543659.0226283,1746543678.2399793
222,310,0.1554579734802246,34.40906643867493,1746543659.1335137,1746543693.6980383
708,108,0.14070701599121094,14.857574701309204,1746543659.2451515,1746543674.2434335
763,137,0.19526243209838867,17.402880668640137,1746543659.3556511,1746543676.9537947
818,460,0.1629347801208496,48.63744592666626,1746543659.4668572,1746543708.2672381
875,247,0.1627662181854248,26.855366945266724,1746543659.5780735,1746543686.5962071
348,42,0.18314647674560547,10.065167665481567,1746543659.6888783,1746543669.9371927
190,130,0.14505958557128906,16.59234046936035,1746543659.8002248,1746543676.5376253
1071,297,0.4112725257873535,32.90189981460571,1746543659.9116187,1746543693.2247915
1184,327,0.8831150531768799,35.761199951171875,1746543660.0227153,1746543696.6670308
377,30,0.7699296474456787,7.041969299316406,1746543660.1334264,1746543667.9453266
924,222,0.6573011875152588,23.320780038833618,1746543660.2466764,1746543684.224758
826,173,0.36020779609680176,20.030216693878174,1746543660.355465,1746543680.7458901
696,158,1.0154695510864258,17.67204523086548,1746543660.4670687,1746543679.1545837
717,276,0.40482568740844727,30.694468021392822,1746543660.5779126,1746543691.6772068
507,246,0.7935707569122314,25.423354625701904,1746543660.6885772,1746543686.9055028
816,321,0.6830971240997314,34.86605954170227,1746543660.8000343,1746543696.3491914
351,134,0.17132854461669922,16.769426584243774,1746543660.9115384,1746543677.852294
340,84,0.6011908054351807,11.50845217704773,1746543661.0227501,1746543673.1323934
593,231,0.28342127799987793,25.243500471115112,1746543661.1332076,1746543686.6601298
982,186,0.701807975769043,20.281039476394653,1746543661.2448535,1746543682.2277014
1214,416,0.5913856029510498,44.358275413513184,1746543661.356027,1746543706.3056881
899,434,0.2690165042877197,48.208255767822266,1746543661.4673247,1746543709.944597
450,272,0.7118253707885742,29.950010776519775,1746543661.5776477,1746543692.2394843
535,250,0.18587851524353027,26.043793439865112,1746543661.6893978,1746543687.9190702
898,250,0.22188234329223633,26.188039302825928,1746543661.800524,1746543688.2104461
633,120,0.3804924488067627,14.982550621032715,1746543661.9108632,1746543677.2739065
686,101,0.5364117622375488,13.344066858291626,1746543662.0251787,1746543675.9056575
1000,146,0.29929089546203613,16.466110467910767,1746543662.1335387,1746543678.8989406
487,9,0.3835914134979248,2.9796366691589355,1746543662.2440891,1746543665.6073194
782,253,0.514002799987793,27.23147225379944,1746543662.3556104,1746543690.101086
558,39,0.508979082107544,7.193790912628174,1746543662.4670668,1746543670.169837
488,129,0.3993833065032959,14.392678022384644,1746543662.578068,1746543677.3701296
926,433,0.7646191120147705,47.37184929847717,1746543662.6887965,1746543710.8252652
780,350,0.6513123512268066,36.82864999771118,1746543662.7996233,1746543700.279586
920,298,0.35753393173217773,32.12916326522827,1746543662.9114413,1746543695.3981392
614,281,0.7458741664886475,29.349886417388916,1746543663.0226095,1746543693.1183705
1204,112,0.6632480621337891,12.545324802398682,1746543663.134018,1746543676.3425913
889,195,0.5260629653930664,19.59378743171692,1746543663.2442565,1746543683.3641074
578,272,0.4449629783630371,27.856051683425903,1746543663.3558445,1746543691.6568594
738,327,0.7236194610595703,33.849628925323486,1746543663.4667504,1746543698.0399992
997,289,0.5490317344665527,30.315483331680298,1746543663.5774994,1746543694.4420147
879,381,0.5047388076782227,40.75217938423157,1746543663.6894786,1746543704.946397
844,326,0.46811652183532715,33.62752914428711,1746543663.8011122,1746543697.8967583
775,193,0.6801426410675049,18.74828791618347,1746543663.9112642,1746543683.3396952
1596,223,0.5757746696472168,21.282541751861572,1746543664.0221884,1746543685.8805053
895,261,0.47057104110717773,26.852478981018066,1746543664.1340003,1746543691.4570506
1172,302,0.7486298084259033,30.73282527923584,1746543664.2447608,1746543695.726216
1218,162,0.6352570056915283,16.268168449401855,1746543664.3562837,1746543681.2597094
739,386,0.4103434085845947,40.149468421936035,1746543664.466748,1746543705.02656
810,318,1.0139765739440918,31.984235286712646,1746543664.578807,1746543697.5770195
1556,51,0.9045524597167969,7.078863143920898,1746543664.6890242,1746543672.67244
602,150,0.5227694511413574,15.14396858215332,1746543664.8002565,1746543680.466995
778,206,0.41045451164245605,19.263291358947754,1746543664.911555,1746543684.5853019
742,254,0.5749638080596924,24.74181604385376,1746543665.0227184,1746543690.3394985
1443,189,0.9771828651428223,17.25371527671814,1746543665.1332486,1746543683.364147
541,294,0.35886669158935547,29.3754460811615,1746543665.2446833,1746543694.9789963
857,131,0.7519569396972656,12.573477983474731,1746543665.3557386,1746543678.6811738
1024,175,0.6468338966369629,16.177841663360596,1746543665.467221,1746543682.2918968
1404,366,0.5384538173675537,37.20625829696655,1746543665.5774066,1746543703.322119
1152,67,0.7107365131378174,6.797158241271973,1746543665.689257,1746543673.1971521
407,47,0.4563467502593994,6.288240194320679,1746543665.79991,1746543672.5444973
327,10,0.34699130058288574,2.3810455799102783,1746543665.9118338,1746543668.639871
1402,177,0.3722798824310303,16.063333749771118,1746543666.022402,1746543682.4580162
1624,266,0.5481843948364258,25.159173488616943,1746543666.1340358,1746543691.841394
516,17,0.4386861324310303,2.714705467224121,1746543666.2443683,1746543669.3977606
1150,276,0.4278261661529541,26.93301773071289,1746543666.3562245,1746543693.717069
1016,246,0.4604918956756592,23.10294795036316,1746543666.4672709,1746543690.030711
871,294,0.5263538360595703,29.272011041641235,1746543666.578525,1746543696.3768902
1003,238,0.4165353775024414,22.634429931640625,1746543666.690293,1746543689.741259
760,206,0.5915250778198242,18.78311800956726,1746543666.7997205,1746543686.1743643
1159,508,0.21944546699523926,51.14917325973511,1746543666.9117491,1746543718.2803683
505,107,0.37116074562072754,10.1370849609375,1746543667.0229313,1746543677.5311773
440,185,0.4674532413482666,16.411075115203857,1746543667.1387546,1746543684.0172837
835,271,0.41743898391723633,25.74581503868103,1746543667.2442114,1746543693.4074657
1182,284,0.2540888786315918,27.78907299041748,1746543667.3553073,1746543695.3984694
1641,305,0.34877467155456543,29.507855892181396,1746543667.4671109,1746543697.323742
1344,346,0.3018505573272705,33.92328143119812,1746543667.5779166,1746543701.8030488
760,318,0.2894778251647949,30.817744493484497,1746543667.689223,1746543698.7964456
839,275,0.8351149559020996,26.099141597747803,1746543667.7997787,1746543694.7340357
1152,232,0.7207801342010498,20.435805320739746,1746543667.9111311,1746543689.067717
831,129,0.3792910575866699,11.309420585632324,1746543668.0222282,1746543679.7109401
858,8,0.628901481628418,0.8277692794799805,1746543668.1338851,1746543669.5905566
1158,266,0.8188233375549316,24.189666986465454,1746543668.244322,1746543693.2528126
505,115,0.4047834873199463,9.327385187149048,1746543668.3553042,1746543678.0874732
1120,51,0.7309324741363525,3.5946316719055176,1746543668.4665651,1746543672.7921298
634,115,0.6180336475372314,9.094629049301147,1746543668.5782416,1746543678.2909045
634,83,1.2436089515686035,6.446729421615601,1746543668.689007,1746543676.379346
1368,443,1.136009931564331,42.11542725563049,1746543668.799991,1746543712.0514283
1133,215,1.0197436809539795,17.71051335334778,1746543668.9116445,1746543687.6419017
1222,319,2.2883589267730713,34.121746301651,1746543669.0225513,1746543705.432657
1013,282,4.462629079818726,28.524561643600464,1746543669.1331275,1746543702.1203184
1326,189,5.282899379730225,20.45176100730896,1746543669.2446494,1746543694.97931
1110,223,0.9809422492980957,18.350274324417114,1746543669.355988,1746543688.6872048
864,293,0.8647332191467285,28.843376398086548,1746543669.4667077,1746543699.1748178
1086,248,5.415344953536987,29.022681951522827,1746543669.5779889,1746543704.0160165
1298,307,8.887826919555664,33.28359794616699,1746543669.6892967,1746543711.8607218
1267,417,3.5313684940338135,48.25459432601929,1746543669.7999375,1746543721.5859008
1176,210,9.72218108177185,21.511069536209106,1746543669.9149053,1746543701.1481562
974,193,9.617779970169067,19.098169803619385,1746543670.0226974,1746543698.7386477
1822,344,9.15139651298523,36.93435263633728,1746543670.1341498,1746543716.2198992
1218,327,9.896767377853394,34.873159408569336,1746543670.2446272,1746543715.0145543
1480,231,13.523776531219482,23.870644569396973,1746543670.361665,1746543707.7560863
1427,84,10.149568319320679,11.650765895843506,1746543670.4710565,1746543692.271391
1140,367,14.410160779953003,39.81025528907776,1746543670.577808,1746543724.7982244
1147,335,15.703350067138672,36.26507806777954,1746543670.6891236,1746543722.6575522
1805,10,16.73346471786499,1.1410000324249268,1746543670.800024,1746543688.674489
763,81,17.29206609725952,9.263776540756226,1746543670.9131315,1746543697.4689744
1094,205,17.587255001068115,23.870763540267944,1746543671.0223184,1746543712.4803371
1005,229,13.24244236946106,23.890464305877686,1746543671.133801,1746543708.2667081
1733,174,18.154913425445557,18.808834552764893,1746543671.2449033,1746543708.208652
845,116,18.044698476791382,13.232168674468994,1746543671.356123,1746543702.6329908
1013,137,14.077114343643188,14.629345417022705,1746543671.4664927,1746543700.172953
1214,134,19.31354784965515,15.118029832839966,1746543671.5780087,1746543706.0095866
1779,79,19.20306372642517,9.006846189498901,1746543671.6924896,1746543699.9024
1239,144,20.473381757736206,15.93533444404602,1746543671.800245,1746543708.2089617
468,236,14.266159057617188,24.663869857788086,1746543671.9110692,1746543710.841098
350,133,14.302858591079712,13.90155816078186,1746543672.0326848,1746543700.237102
1659,260,20.63689374923706,26.592695236206055,1746543672.1338603,1746543719.3634498
1938,61,20.529539585113525,6.245927095413208,1746543672.2444267,1746543699.0198936
759,9,21.337182998657227,0.5139775276184082,1746543672.355395,1746543694.2065558
1429,289,22.24935030937195,29.950143575668335,1746543672.470684,1746543724.6701784
1281,132,14.55355167388916,15.113226175308228,1746543672.5774953,1746543702.2442734
1211,263,22.71660542488098,27.925309658050537,1746543672.689527,1746543723.3314424
1252,349,23.35166096687317,34.94302582740784,1746543672.7996695,1746543731.0943565
976,236,24.105985403060913,24.984588146209717,1746543672.9117548,1746543722.0023286
1675,651,24.694085597991943,55.78966045379639,1746543673.022218,1746543753.5059643
651,127,14.936425685882568,13.305457353591919,1746543673.1336443,1746543701.3755276
651,352,25.77055335044861,37.30145239830017,1746543673.2451317,1746543736.317138
1124,225,26.414860725402832,23.752474546432495,1746543673.355287,1746543723.5226228
1484,554,14.606266260147095,52.65272617340088,1746543673.4671164,1746543740.726109
1963,473,14.662489891052246,47.67096400260925,1746543673.577604,1746543735.9110582
1700,396,16.050862550735474,39.06531000137329,1746543673.688489,1746543728.804662
1091,295,15.938778638839722,29.22200608253479,1746543673.8002172,1746543718.9610023
1136,246,25.8536958694458,25.66647458076477,1746543673.9195955,1746543725.4397662
1399,248,26.744831562042236,25.94873023033142,1746543674.0224922,1746543726.7160542
974,210,15.968203783035278,21.547807931900024,1746543674.1332562,1746543711.6492682
1076,110,27.30156683921814,12.591643810272217,1746543674.2443874,1746543714.1375985
1436,151,28.273322105407715,15.094902992248535,1746543674.359272,1746543717.7274976
973,162,16.160463094711304,15.807034969329834,1746543674.4672077,1746543706.4347064
1249,55,28.48715090751648,6.266566276550293,1746543674.578996,1746543709.3327134
779,179,29.256840705871582,17.287548780441284,1746543674.688724,1746543721.2331138
730,44,29.139611959457397,3.9417011737823486,1746543674.8083425,1746543707.889656
1828,425,15.71376895904541,42.18704104423523,1746543674.911666,1746543732.8124762
1351,438,17.14592456817627,43.494298458099365,1746543675.0222144,1746543735.6624377
1546,353,28.808739185333252,34.93716526031494,1746543675.1374128,1746543738.8833175
1376,360,18.335987329483032,35.004698038101196,1746543675.2449162,1746543728.5856018
1532,308,18.8923020362854,29.981079578399658,1746543675.355294,1746543724.2286758
1353,223,29.02955412864685,22.926844596862793,1746543675.4665444,1746543727.4229438
1171,273,29.785472631454468,25.786394834518433,1746543675.585015,1746543731.1568828
1356,515,30.796916723251343,44.71867632865906,1746543675.6890934,1746543751.2046869
1618,258,18.929702520370483,25.178590059280396,1746543675.7997828,1746543719.9080758
1843,448,19.16660237312317,42.81910586357117,1746543675.9110417,1746543737.8967505
1403,223,33.11467790603638,20.952028512954712,1746543676.0234237,1746543730.0901303
1173,246,33.002331018447876,23.71554398536682,1746543676.133979,1746543732.8518546
1560,134,32.883363008499146,12.867551803588867,1746543676.2511392,1746543722.0020542
1715,184,18.720248699188232,18.093374967575073,1746543676.3553886,1746543713.1690125
1576,113,33.406885385513306,9.910396337509155,1746543676.4705875,1746543719.7878695
1527,491,19.346866130828857,44.85522937774658,1746543676.5780764,1746543740.780172
1490,394,19.2287859916687,38.87331748008728,1746543676.6955779,1746543734.7976818
