prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.17569875717163086,15.13762640953064,1746509051.1936195,1746509066.5069454
543,332,0.25151515007019043,18.630902528762817,1746509052.0486674,1746509070.9310853
550,286,0.1638798713684082,15.59943175315857,1746509052.9040143,1746509068.6673262
499,270,0.23781299591064453,14.992302894592285,1746509053.757676,1746509068.987792
1341,240,0.16400980949401855,13.13432765007019,1746509054.612982,1746509067.9113197
765,125,0.28350210189819336,6.803961753845215,1746509055.4672618,1746509062.5547268
981,181,0.1837460994720459,9.70752239227295,1746509056.3219604,1746509066.2132294
968,244,0.24705839157104492,13.873579502105713,1746509057.177116,1746509071.297754
673,51,0.3191242218017578,2.5800344944000244,1746509058.0318868,1746509060.9310482
311,475,0.11245965957641602,27.443498849868774,1746509058.8861878,1746509086.4421465
1209,77,0.43887925148010254,4.049880743026733,1746509059.7407372,1746509064.2294977
341,151,0.14673447608947754,8.296308040618896,1746509060.596374,1746509069.0394168
517,250,0.1447746753692627,13.483500480651855,1746509061.4501865,1746509075.078462
477,254,0.19598174095153809,13.821577787399292,1746509062.3058732,1746509076.323433
1056,162,0.19604802131652832,8.687438726425171,1746509063.1601973,1746509072.0436847
222,310,0.16034770011901855,17.718924283981323,1746509064.0143294,1746509081.893602
708,108,0.1323392391204834,6.296043872833252,1746509064.8694723,1746509071.2978554
763,137,0.196791410446167,7.833885669708252,1746509065.7241793,1746509073.7548566
818,460,0.3390321731567383,26.630170106887817,1746509066.578735,1746509093.5479376
875,247,0.16463327407836914,13.501508474349976,1746509067.4330962,1746509081.0992384
348,42,0.17047524452209473,2.124781608581543,1746509068.288306,1746509070.583563
190,130,0.09935522079467773,7.131694078445435,1746509069.1440902,1746509076.37514
1071,297,0.40975332260131836,17.269118785858154,1746509069.9975882,1746509087.6764605
1184,327,0.2596285343170166,18.021081686019897,1746509070.8522363,1746509089.132947
377,30,0.14559006690979004,1.5038790702819824,1746509071.7066317,1746509073.3561013
924,222,0.1909019947052002,12.363178968429565,1746509072.5611033,1746509085.1151843
826,173,0.18050336837768555,10.004244804382324,1746509073.4162433,1746509083.6009917
696,158,0.32033205032348633,9.01028299331665,1746509074.2704654,1746509083.6010804
717,276,0.3191041946411133,15.133329153060913,1746509075.1250556,1746509090.5774891
507,246,0.20424532890319824,14.637027263641357,1746509075.980054,1746509090.8213267
816,321,0.2752220630645752,17.81527042388916,1746509076.835618,1746509094.9261107
351,134,0.14046287536621094,7.389307975769043,1746509077.6892178,1746509085.218989
340,84,0.16991376876831055,4.937984466552734,1746509078.5445848,1746509083.6524832
593,231,0.27281665802001953,13.616109848022461,1746509079.3988848,1746509093.2878115
982,186,0.20427584648132324,11.160512924194336,1746509080.253374,1746509091.6181633
1214,416,0.4417729377746582,22.865668296813965,1746509081.1090176,1746509104.4164593
899,434,0.35692715644836426,25.731644868850708,1746509081.9630368,1746509108.051609
450,272,0.2135009765625,14.804305791854858,1746509082.8173385,1746509097.8351455
535,247,0.16463732719421387,14.879016637802124,1746509083.6730227,1746509098.716677
898,250,0.36348438262939453,14.855241060256958,1746509084.5272548,1746509099.7459805
633,120,0.14029455184936523,6.577906608581543,1746509085.382455,1746509092.100657
