prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.1829833984375,26.808632612228394,1746542612.5208998,1746542639.512516
543,332,0.20474934577941895,31.05063557624817,1746542612.6881237,1746542643.943509
550,286,0.1617436408996582,28.787734270095825,1746542612.85501,1746542641.8044884
499,270,0.2394266128540039,27.076319932937622,1746542613.0211928,1746542640.3369398
1341,240,0.20900464057922363,24.934572458267212,1746542613.187949,1746542638.3315268
765,125,0.31058430671691895,12.901897430419922,1746542613.354651,1746542626.567133
981,181,0.35602760314941406,19.976402521133423,1746542613.5216525,1746542633.8540828
968,244,0.5201056003570557,23.738872528076172,1746542613.6880944,1746542637.9470727
673,51,0.2780725955963135,4.597951412200928,1746542613.8548892,1746542618.7309146
311,475,0.20742559432983398,48.77659511566162,1746542614.0210624,1746542663.0050836
1209,77,0.20709705352783203,8.423861026763916,1746542614.1881998,1746542622.819158
341,147,0.12456488609313965,16.423325777053833,1746542614.3549504,1746542630.9028413
517,250,0.24916601181030273,25.234551191329956,1746542614.521503,1746542640.0052204
477,262,0.27046775817871094,25.875792503356934,1746542614.6878397,1746542640.8341005
1056,162,0.481947660446167,17.884483337402344,1746542614.8552105,1746542633.221642
222,310,0.4532804489135742,31.04762601852417,1746542615.0207083,1746542646.521615
708,108,0.28693580627441406,11.032452821731567,1746542615.1875267,1746542626.5069158
763,137,0.1614992618560791,16.091798543930054,1746542615.3549533,1746542631.6082513
818,460,0.12521958351135254,47.19548964500427,1746542615.5215738,1746542662.8422835
875,247,0.20594358444213867,24.888583660125732,1746542615.6877296,1746542640.782257
348,42,0.11739635467529297,6.0202014446258545,1746542615.854366,1746542621.991964
190,130,0.14159846305847168,15.154637813568115,1746542616.0208473,1746542631.317084
1071,297,0.40775227546691895,29.989521980285645,1746542616.187448,1746542646.5847228
1184,327,0.5132644176483154,33.633466958999634,1746542616.3547869,1746542650.501519
377,30,0.3450031280517578,2.5068366527557373,1746542616.5212822,1746542619.3731236
924,222,0.35656070709228516,23.16472029685974,1746542616.68783,1746542640.2091115
826,173,0.38257765769958496,18.6258761882782,1746542616.854868,1746542635.8633223
